Deployment,sts-server,100m,200Mi,registry.cn-beijing.aliyuncs.com/rsq-project/rishiqing-sts-server:release.49207,3000,"ordereddict([('path', '/task/sts/status/health'), ('port', 3000), ('scheme', 'HTTP')])","ordereddict([('path', '/task/sts/status/health'), ('port', 3000), ('scheme', 'HTTP')])",sts-server-config,
Deployment,backend-project-briefing-job,500m,1Gi,registry.cn-hangzhou.aliyuncs.com/workbei-public/private-cloud:briefing-job-private-cloud-1.6.0-stable,,,,backend-project-briefing-job,
Deployment,backend-project-main-deploy,1500m,3Gi,registry.cn-beijing.aliyuncs.com/rsq-public/private-cloud:private-cloud-build-3.28.50,8080,"ordereddict([('path', '/task/status'), ('port', 8080), ('scheme', 'HTTP')])","ordereddict([('path', '/task/status'), ('port', 8080), ('scheme', 'HTTP')])",backend-project-main-tomcat-config-no-sticky-memcached,backend-project-main-config-pvc
Deployment,index-nginx,200m,256Mi,registry.cn-beijing.aliyuncs.com/rsq-public/nginx:1.17.8,80,,,index-nginx-config,
Deployment,backend-project-main-job-deploy,1,3Gi,registry.cn-beijing.aliyuncs.com/rsq-public/private-cloud:private-cloud-job-build-3.28.50,8080,"ordereddict([('path', '/task/status'), ('port', 8080), ('scheme', 'HTTP')])","ordereddict([('path', '/task/status'), ('port', 8080), ('scheme', 'HTTP')])",,backend-project-main-job-config-pvc
Deployment,ding-rsq-inner-access-deploy,500m,700Mi,registry.cn-beijing.aliyuncs.com/rsq-project/ding-rsq-inner:2.2.3.20220419-test4-beta,8080,"ordereddict([('path', '/backauth/status'), ('port', 8080), ('scheme', 'HTTP')])","ordereddict([('path', '/backauth/status'), ('port', 8080), ('scheme', 'HTTP')])",ding-main-config,
Deployment,front-nginx,100m,100Mi,registry.cn-beijing.aliyuncs.com/rsq-public/nginx:1.17.8,80,,,nginx-config,
Deployment,front-assets-private,,,registry.cn-beijing.aliyuncs.com/rsq-project/rishiqing-assets-private:2.20.0,80,"ordereddict([('path', '/status'), ('port', 80), ('scheme', 'HTTP')])","ordereddict([('path', '/status'), ('port', 80), ('scheme', 'HTTP')])",custom-logo,
Deployment,backend-project-okr-deploy,500m,2057Mi,registry-vpc.cn-hangzhou.aliyuncs.com/workbei-project/okr:6.4.3-stable-pj,8080,"ordereddict([('path', '/task/okr/probe'), ('port', 8080), ('scheme', 'HTTP')])","ordereddict([('path', '/task/okr/probe'), ('port', 8080), ('scheme', 'HTTP')])",backend-project-okr-config,
Deployment,reditor-server,128m,512Mi,registry.cn-beijing.aliyuncs.com/rsq-project/reditor-server:beta.49102,,,,reditor-server-config,
